,,,,,,,DATE,2025/11/29,,,,,,,,,,,,,,,,,,,,
,,,,,,,ANALYST,IE Engineer,,,,,,,,,,,,,,,,,,,,
,,,,,,,MODEL,K860G6-BASY v1.3,,,,,,,,,,,,,,,,,,,,
,,SUB_acitivities,Key Parts,"STEP
NO.","HAND
R/L","METHOD STEP DESCRIPTION
获得控制 对象 （从地点）[放/移动/启动]  [定位/地点]",SEQUENCE MODELS,,,,,,,,,,,,,,Freq.,SIMO,TMU,,,,,,,
,,,关键部件,步骤,手,获得控制 对象 （从地点）[放/移动/启动]  [定位/地点],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,                              G                          A                 [P/M/X]                        A,Get,,,,,,,,Put/Move/Actuate,,,,Return,,,,,,,,,,,
,,拿取風槍清潔放置DIMM材料盒的DIMM,DIMM,1,BH,雙手從料架拿取DIMM材料盒放到潔淨棚的工作台,A,16,B,0,G,1,A,6,B,0,P,3,A,0,1,N,260,,,,,,,
,,,DIMM,2,LH,左手抓握DIMM材料盒保持住,A,3,B,0,G,1,A,0,B,0,P,0,A,0,1,N,40,,,,,,,
,,,DIMM,3,RH,右手抓握風槍按動按鈕並吹風清潔DIMM,A,6,B,0,G,1,A,0,B,0,P,1,A,0,1,N,80,,,,,,,
,,,DIMM,4,RH,右手抓握風槍放風槍到規定位置處,A,3,B,0,G,1,A,6,B,0,P,1,A,0,1,N,110,,,,,,,
,,,DIMM,5,LH,左手抓握DIMM材料盒放DIMM材料盒到規定位置處,A,3,B,0,G,1,A,6,B,0,P,1,A,0,1,N,110,,,,,,,
,,拿取主板，去除包裝袋，將主板放置工作台,主板,1,RH,右手從料架拿取主板保持住,A,16,B,0,G,3,A,0,B,0,P,0,A,0,1,N,190,,,,,,,
,,,主板,2,LH,左手抓握主板的包装袋去除,A,3,B,0,G,1,M,3,X,0,I,0,A,0,1,N,70,,,,,,,
,,,主板,3,LH,左手重新抓握主板的包装袋放到垃圾桶,A,3,B,0,G,1,A,10,B,0,P,1,A,0,1,N,150,,,,,,,
,,,主板,4,BH,雙手重新抓握主板放到潔淨棚的工作台,A,3,B,0,G,1,M,6,X,0,I,3,A,3,1,N,160,,,,,,,
,,貼附Label到主板規定位置處,Label/主板,1,RH,右手從DIMM材料盒拿取Label,A,6,B,0,G,1,A,0,B,0,P,0,A,0,1,N,70,,,,,,,
